,year,country,Count
0,1949,us,10
1,1956,us,34
2,1960,us,41
3,1961,us,33
4,1965,us,133
5,1966,us,129
6,1968,us,152
7,1970,us,90
8,1971,us,79
9,1972,us,94
10,1973,us,152
11,1974,us,181
12,1975,us,203
13,1976,us,182
14,1977,us,176
15,1978,us,210
16,1979,us,152
17,1980,us,164
18,1984,us,118
19,1988,us,151
20,1989,us,174
21,1990,us,155
22,1991,us,147
23,1992,us,151
24,1993,us,186
25,1994,us,259
26,1994,ca,13
27,1996,us,362
28,1997,us,862
29,1998,us,1133
30,1998,ca,44
31,1999,us,1743
32,2000,us,1764
33,2000,ca,80
34,2001,us,1930
35,2001,ca,94
36,2002,us,1914
37,2002,ca,123
38,2003,us,2240
39,2004,us,2565
40,2004,ca,217
41,2005,us,2608
42,2006,us,2388
43,2007,us,2838
44,2008,ca,87
45,2008,us,3356
46,2009,us,2832
47,2010,us,2822
48,2011,us,3464
49,2011,ca,96
50,2012,us,5075
51,2013,us,4754
52,2013,ca,179
53,1987,us,146
54,1999,ca,65
55,2009,ca,90
56,1950,us,20
57,1952,us,32
58,1954,us,34
59,1957,us,44
60,1959,us,37
61,1966,ca,6
62,1967,us,113
63,1969,us,102
64,1970,ca,6
65,1981,us,106
66,1982,us,107
67,1983,us,99
68,1985,us,144
69,1986,us,119
70,1987,ca,8
71,1995,us,340
72,2003,ca,220
73,2005,ca,148
74,2007,ca,126
75,2010,ca,99
76,2012,ca,164
77,2006,ca,101
78,1936,us,1
79,1943,us,1
80,1952,ca,2
81,1953,us,21
82,1955,us,19
83,1962,us,46
84,1964,us,61
85,1972,ca,6
86,1981,ca,4
87,1988,ca,5
88,1989,ca,5
89,2002,au,2
90,1958,us,37
91,1977,ca,11
92,1997,ca,27
93,1995,ca,12
94,1955,ca,1
95,1963,us,64
96,2013,au,1
97,1990,ca,13
98,1971,ca,5
99,1947,us,30
100,1976,ca,3
101,2014,us,1931
102,2014,ca,40
103,1978,ca,7
104,1969,ca,3
105,1984,ca,6
106,2006,gb,2
107,1910,us,2
108,1944,us,3
109,2003,gb,1
110,1963,ca,3
111,1979,ca,6
112,2013,gb,1
113,1968,ca,2
114,1980,ca,6
115,1993,ca,8
116,1951,us,11
117,1958,ca,1
118,1992,ca,9
119,1948,us,6
120,1945,us,5
121,2010,au,1
122,1925,us,1
123,2005,au,1
124,1982,ca,3
125,1946,us,6
126,1996,ca,23
127,1931,us,2
128,2009,gb,1
129,1991,ca,5
130,1951,ca,2
131,2014,au,1
132,1973,ca,7
133,2007,gb,1
134,1953,ca,2
135,1985,ca,6
136,2010,gb,1
137,2014,gb,1
138,1920,us,1
139,1939,us,3
140,1941,us,1
141,1942,us,2
142,1960,ca,4
143,1961,ca,1
144,1974,ca,4
145,1975,ca,10
146,1978,gb,1
147,1962,ca,1
148,1937,us,1
149,1946,ca,1
150,1986,ca,3
151,2000,au,1
152,1983,ca,1
153,1954,ca,1
154,1965,ca,1
155,1967,ca,1
156,2006,au,1
157,1929,us,1
